,Service_provider,technology,Download_Upload,Data_Speed(Kbps),signal_strength,Service_Area
0,AIRTEL,4G,download,4794,-53.0,UP East
1,AIRTEL,4G,upload,536,-59.0,UP East
2,JIO,4G,download,38507,-59.0,UP West
3,JIO,4G,download,78938,-59.0,UP West
4,JIO,4G,upload,3560,-59.0,UP West
5,JIO,4G,upload,5446,-59.0,UP West
6,JIO,4G,download,80419,-60.0,UP West
7,JIO,4G,upload,7722,-60.0,UP West
8,JIO,4G,download,6550,-62.0,Rajasthan
9,JIO,4G,download,5900,-62.0,Rajasthan
10,JIO,4G,upload,7643,-62.0,Rajasthan
11,JIO,4G,upload,5102,-62.0,Rajasthan
12,JIO,4G,download,77779,-63.0,Rajasthan
13,JIO,4G,upload,7225,-63.0,Rajasthan
14,JIO,4G,download,80392,-57.0,Gujarat
15,JIO,4G,upload,9549,-57.0,Gujarat
16,JIO,4G,download,63260,-71.0,Rajasthan
17,JIO,4G,upload,5844,-71.0,Rajasthan
18,JIO,4G,download,39607,-63.0,Rajasthan
19,JIO,4G,download,38706,-67.0,Rajasthan
20,JIO,4G,download,39383,-67.0,Rajasthan
21,JIO,4G,upload,7299,-63.0,Rajasthan
22,JIO,4G,upload,7462,-67.0,Rajasthan
23,JIO,4G,upload,6917,-67.0,Rajasthan
24,JIO,4G,download,39125,-62.0,Gujarat
25,JIO,4G,upload,7488,-62.0,Gujarat
26,JIO,4G,download,76286,-73.0,UP West
27,JIO,4G,download,74881,-73.0,UP West
28,JIO,4G,upload,6639,-73.0,UP West
29,JIO,4G,upload,7407,-73.0,UP West
30,JIO,4G,download,55,-81.0,Andhra Pradesh
31,JIO,4G,download,2799,-89.0,Andhra Pradesh
32,JIO,4G,download,3697,-81.0,Andhra Pradesh
33,JIO,4G,upload,993,-83.0,Andhra Pradesh
34,JIO,4G,upload,647,-87.0,Andhra Pradesh
35,JIO,4G,upload,2072,-81.0,Andhra Pradesh
36,CELLONE,3G,download,608,,Tamil Nadu
37,CELLONE,3G,upload,499,,Tamil Nadu
38,CELLONE,4G,download,2911,-107.0,Kerala
39,CELLONE,4G,upload,2057,-107.0,Kerala
40,AIRTEL,4G,download,652,-104.0,Karnataka
41,AIRTEL,4G,download,1162,-109.0,Karnataka
42,AIRTEL,4G,upload,6,-107.0,Karnataka
43,AIRTEL,4G,upload,104,-102.0,Karnataka
44,JIO,4G,download,54632,-71.0,Rajasthan
45,JIO,4G,upload,5120,-71.0,Rajasthan
46,JIO,4G,download,39706,-61.0,Gujarat
47,JIO,4G,download,79071,-61.0,Gujarat
48,JIO,4G,upload,7373,-61.0,Gujarat
49,JIO,4G,upload,7737,-61.0,Gujarat
50,AIRTEL,4G,download,13051,-61.0,Kerala
51,AIRTEL,4G,download,1016,-89.0,Kerala
52,AIRTEL,4G,upload,3240,-65.0,Kerala
53,AIRTEL,4G,upload,230,-89.0,Kerala
54,AIRTEL,4G,download,9538,-57.0,Andhra Pradesh
55,AIRTEL,4G,download,9605,-57.0,Andhra Pradesh
56,AIRTEL,4G,download,23103,-65.0,Andhra Pradesh
57,AIRTEL,4G,download,7164,-69.0,Andhra Pradesh
58,AIRTEL,4G,download,4337,-51.0,Andhra Pradesh
59,AIRTEL,4G,download,4674,-51.0,Andhra Pradesh
60,AIRTEL,4G,download,8370,-69.0,Andhra Pradesh
61,AIRTEL,4G,download,6491,-51.0,Andhra Pradesh
62,AIRTEL,4G,download,2822,-51.0,Andhra Pradesh
63,AIRTEL,4G,upload,1115,-57.0,Andhra Pradesh
64,AIRTEL,4G,upload,680,-57.0,Andhra Pradesh
65,AIRTEL,4G,upload,6311,-69.0,Andhra Pradesh
66,AIRTEL,4G,upload,659,-69.0,Andhra Pradesh
67,AIRTEL,4G,upload,4457,-55.0,Andhra Pradesh
68,AIRTEL,4G,upload,1868,-51.0,Andhra Pradesh
69,AIRTEL,4G,upload,393,-69.0,Andhra Pradesh
70,AIRTEL,4G,upload,3834,-51.0,Andhra Pradesh
71,AIRTEL,4G,upload,2059,-51.0,Andhra Pradesh
72,JIO,4G,download,1258,-83.0,Kerala
73,JIO,4G,download,1125,-81.0,Kerala
74,JIO,4G,download,3155,-71.0,Kerala
