id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date
1,Houston,0.2,16.448,2,Central,kariox,Consumer,phone,Standard Class,7981,5.5512,2018-01-01,77095,Texas,2018-01-01
2,Westland,0,29.7,5,Central,kariox,Consumer,headset,Standard Class,6334,13.365,2018-01-01,48185,Michigan,2018-01-01
3,Westland,0,14.73,3,Central,qexty,Consumer,shorts,Standard Class,6333,4.8609,2018-01-01,48185,Michigan,2018-01-01
4,Westland,0,43.92,3,Central,kariox,Consumer,television,Standard Class,6332,12.7368,2018-01-01,48185,Michigan,2018-01-01
5,Westland,0,66.58,2,Central,kariox,Consumer,laptop,Standard Class,6331,15.9792,2018-01-01,48185,Michigan,2018-01-01
6,Westland,0.1,247.716,4,Central,kariox,Consumer,battery,Standard Class,6330,93.5816,2018-01-01,48185,Michigan,2018-01-01
7,Westland,0,19.05,5,Central,kariox,Consumer,headset,Standard Class,6329,8.9535,2018-01-01,48185,Michigan,2018-01-01
8,Westland,0,272.94,3,Central,qexty,Consumer,shorts,Standard Class,6328,30.0234,2018-01-01,48185,Michigan,2018-01-01
9,Smyrna,0.7,67.194,1,South,kariox,Corporate,headset,Standard Class,7121,-51.5154,2018-01-01,37167,Tennessee,2018-01-01
10,Westland,0,13.98,1,Central,kariox,Consumer,laptop,Standard Class,6327,4.0542,2018-01-01,48185,Michigan,2018-01-01
11,Jonesboro,0,1067.94,3,South,qexty,Consumer,tshirts,Standard Class,1127,224.2674,2018-01-01,72401,Arkansas,2018-01-01
12,Jonesboro,0,23.34,3,South,kariox,Consumer,watch,Standard Class,1126,10.9698,2018-01-01,72401,Arkansas,2018-01-01
13,Jonesboro,0,6.63,3,South,kariox,Consumer,television,Standard Class,1125,1.7901,2018-01-01,72401,Arkansas,2018-01-01
14,Jonesboro,0,38.6,4,South,qexty,Consumer,shorts,Standard Class,1124,11.58,2018-01-01,72401,Arkansas,2018-01-01
15,Jonesboro,0,22.96,7,South,kariox,Consumer,television,Standard Class,1123,6.6584,2018-01-01,72401,Arkansas,2018-01-01
16,Jonesboro,0,699.93,7,South,fynota,Consumer,colddrinks,Standard Class,1122,181.9818,2018-01-01,72401,Arkansas,2018-01-01
17,Scottsdale,0.7,181.47,5,West,qexty,Consumer,pants,First Class,5466,-320.597,2018-01-01,85254,Arizona,2018-01-01
18,Los Angeles,0,19.36,2,West,kariox,Consumer,phone,Standard Class,5737,9.2928,2018-01-01,90049,California,2018-01-01
19,Scottsdale,0.2,108.72,5,West,kariox,Consumer,watch,First Class,5465,36.693,2018-01-01,85254,Arizona,2018-01-01
20,Miami,0.2,25.248,3,South,qexty,Consumer,shorts,Second Class,9990,4.1028,2018-01-01,33180,Florida,2018-01-01
21,Lafayette,0,5.94,3,Central,kariox,Consumer,lighting,Standard Class,9887,0,2018-01-01,47905,Indiana,2018-01-01
22,Mission Viejo,0.15,290.666,2,West,qexty,Consumer,pants,First Class,3366,3.4196,2018-02-01,92691,California,2018-01-01
23,Detroit,0,229.94,2,Central,kariox,Consumer,laptop,Standard Class,6389,6.8982,2018-02-01,48234,Michigan,2018-01-01
24,Detroit,0,10.56,2,Central,kariox,Consumer,phone,Standard Class,6388,4.752,2018-02-01,48234,Michigan,2018-01-01
25,New York City,0.2,3.928,1,East,kariox,Consumer,headset,Standard Class,3084,1.3257,2018-02-01,10024,New York,2018-01-01
26,San Diego,0,36.44,4,West,kariox,Consumer,television,Standard Class,3797,12.0252,2018-02-01,92037,California,2018-01-01
27,San Diego,0.2,333,3,West,qexty,Consumer,hoodies,Standard Class,3796,-16.65,2018-02-01,92037,California,2018-01-01
28,San Diego,0,57.23,1,West,kariox,Consumer,laptop,Standard Class,3795,14.3075,2018-02-01,92037,California,2018-01-01
29,Las Vegas,0,40.08,6,West,kariox,Consumer,phone,Standard Class,9156,19.2384,2018-01-01,89115,Nevada,2018-01-01
30,Rapid City,0,141.96,2,Central,qexty,Corporate,pants,First Class,8151,39.7488,2018-01-01,57701,South Dakota,2018-01-01
31,Alexandria,0,187.98,2,South,fynota,Home Office,colddrinks,Standard Class,2585,52.6344,2018-01-01,22304,Virginia,2018-01-01
32,Alexandria,0,12.42,3,South,qexty,Home Office,shorts,Standard Class,2584,4.4712,2018-01-01,22304,Virginia,2018-01-01
33,Alexandria,0,155.35,13,South,fynota,Home Office,colddrinks,Standard Class,2583,0,2018-01-01,22304,Virginia,2018-01-01
34,Alexandria,0,16.68,2,South,kariox,Home Office,phone,Standard Class,2582,8.34,2018-01-01,22304,Virginia,2018-01-01
35,Alexandria,0,19.44,3,South,kariox,Home Office,phone,Standard Class,2581,9.3312,2018-01-01,22304,Virginia,2018-01-01
36,Alexandria,0,489.92,8,South,kariox,Home Office,laptop,Standard Class,2580,0,2018-01-01,22304,Virginia,2018-01-01
37,Alexandria,0,62.82,3,South,qexty,Home Office,shorts,Standard Class,2579,30.7818,2018-01-01,22304,Virginia,2018-01-01
38,Rapid City,0,10.68,2,Central,kariox,Corporate,headset,First Class,8150,5.0196,2018-01-01,57701,South Dakota,2018-01-01
39,Scottsdale,0.2,56.064,4,West,kariox,Consumer,phone,First Class,5464,19.6224,2018-01-01,85254,Arizona,2018-01-01
40,Los Angeles,0,19.3,2,West,qexty,Consumer,shorts,Standard Class,5738,5.79,2018-01-01,90049,California,2018-01-01
41,Springfield,0.2,64.864,4,West,kariox,Corporate,battery,Second Class,5365,6.4864,2018-01-01,97477,Oregon,2018-01-01
42,Laredo,0.2,31.2,3,Central,fynota,Consumer,chocolates,Standard Class,594,9.75,2018-01-01,78041,Texas,2018-01-01
43,Laredo,0.2,9.344,2,Central,kariox,Consumer,television,Standard Class,593,1.168,2018-01-01,78041,Texas,2018-01-01
44,Huntsville,0.8,10.43,7,Central,kariox,Consumer,headset,Standard Class,7662,-18.2525,2018-01-01,77340,Texas,2018-01-01
45,Huntsville,0.6,76.728,3,Central,qexty,Consumer,shorts,Standard Class,7661,-53.7096,2018-01-01,77340,Texas,2018-01-01
46,Henderson,0,6.54,1,South,kariox,Home Office,phone,Standard Class,7481,3.0084,2018-01-01,42420,Kentucky,2018-01-01
47,Henderson,0,31.12,4,South,kariox,Home Office,lighting,Standard Class,7480,0.3112,2018-01-01,42420,Kentucky,2018-01-01
48,Henderson,0,755.96,4,South,fynota,Home Office,colddrinks,Standard Class,7479,204.1092,2018-01-01,42420,Kentucky,2018-01-01
49,Henderson,0,391.98,2,South,fynota,Home Office,colddrinks,Standard Class,7478,113.6742,2018-01-01,42420,Kentucky,2018-01-01
50,Scottsdale,0.7,32.34,10,West,kariox,Consumer,headset,First Class,5463,-23.716,2018-01-01,85254,Arizona,2018-01-01
51,Henderson,0,609.98,2,South,kariox,Home Office,headset,Standard Class,7476,274.491,2018-01-01,42420,Kentucky,2018-01-01
52,Henderson,0,2573.82,9,South,qexty,Home Office,tshirts,Standard Class,7475,746.4078,2018-01-01,42420,Kentucky,2018-01-01
53,Athens,0,12.78,3,South,kariox,Corporate,television,First Class,7181,5.2398,2018-01-01,30605,Georgia,2018-01-01
54,Los Angeles,0,19.44,3,West,kariox,Consumer,phone,,5328,9.3312,2018-01-01,90049,California,2018-01-01
55,Philadelphia,0.2,19.536,3,East,kariox,Consumer,television,Standard Class,1760,4.884,2018-01-01,19143,Pennsylvania,2018-01-01
56,Naperville,0.8,3.54,2,Central,kariox,Home Office,headset,Standard Class,742,-5.487,2018-01-01,60540,Illinois,2018-01-01
57,Naperville,0.2,272.736,3,Central,kariox,Home Office,laptop,Standard Class,741,-64.7748,2018-01-01,60540,Illinois,2018-01-01
58,Naperville,0.2,11.784,3,Central,kariox,Home Office,tablet,Standard Class,740,4.2717,2018-01-01,60540,Illinois,2018-01-01
59,Springfield,0,2.89,1,South,kariox,Corporate,tablet,Standard Class,866,1.3583,2018-01-01,22153,Virginia,2018-01-01
60,Springfield,0,51.94,1,South,qexty,Corporate,shorts,Standard Class,867,21.2954,2018-01-01,22153,Virginia,2018-01-01
61,Henderson,0,5.48,2,South,kariox,Home Office,television,Standard Class,7477,1.4796,2018-01-01,42420,Kentucky,2018-01-01
62,Bossier City,0,11.36,2,South,kariox,Corporate,watch,Second Class,764,5.3392,2018-01-01,71111,Louisiana,2018-01-01
63,Dover,0,9.94,2,East,qexty,Consumer,shorts,First Class,717,3.0814,2018-01-01,19901,Delaware,2018-01-01
64,Philadelphia,0.2,30.072,3,East,kariox,Consumer,tablet,Second Class,974,10.1493,2018-01-01,19134,Pennsylvania,2018-01-01
65,Philadelphia,0.7,18.588,2,East,kariox,Consumer,headset,Second Class,973,-13.6312,2018-01-01,19134,Pennsylvania,2018-01-01
66,Philadelphia,0.4,124.2,3,East,fynota,Consumer,colddrinks,Second Class,972,-31.05,2018-01-01,19134,Pennsylvania,2018-01-01
